bandingan   bandingkan
ga                      tidak
enjoy                   nikmati
vrtual                  virtual
noda²                   noda noda
pntingnya               pentingnya
brlngsung               berlangsung
if                      informatika
mhasiswa                mahasiswa
full                    penuh
mnggunakannya           menggunakannya
terinstall              terpasang
ngantuk                 kantuk
submit                  kirimkan
engga                   tidak
seringkali              sering kali
berubahubah             berubah ubah
dsb                     dan lain sebagainya
ngerti                  mengerti
tntang                  tentang
diisi                   di isi
smestinya               semestinya
kekedapan               kedepan
software                perangkat lunak
bkin                    bikin
experiences             pengalaman
perkukiahan             perkuliahan
maba                    mahasiswa baru
whiteboard              papan tulis
ganggguan               gangguan
mnggunakan              menggunakan
panjangan               pajangan
ratarata                rata rata
ltpb                    lembaga tahap persiapan bersama
dg                      dengan
overload                kelebihan beban
adakdepannya            ada kedepannya
dengerin                dengarkan
oprasional              operasional
game                    permainan
bnyak                   banyak
etprof                  etika profesi
penyamlaian             penyampaian
telfon                  telpon
ad                      ada
dilabtek                di laboratorium
ngoding                 memprogram
ukm                     unit kegiatan mahasiswa
ataupun                 atau pun
nyatet                  mencatat
sbnernya                sebenarnya
mengajarapa             mengajar apa
